Exemplar,likert_average,rating_average,likert_rank,rating_rank
ant,5.0,6.9,29,43
antelope,4.6,6.1,45,56
badger,3.0,0.0,65,106
bat,2.9,5.1,104,70
bear,5.2,7.0,20,34
beaver,4.6,6.3,46,50
bee,5.1,7.2,24,30
beetle,3.0,5.8,66,62
big cat,3.9,8.0,53,9
bison,3.0,6.3,67,51
black bear,2.8,8.0,106,10
brown bear,5.2,7.05,21,33
buffalo,4.0,4.6,51,76
bull,5.1,6.8,25,45
butterfly,5.0,7.0,30,35
camel,3.8,6.1,54,57
cardinal beetle,3.0,4.6,68,77
cat,7.0,9.0,1,2
chameleon,2.7,5.3,107,67
cheetah,5.2,7.3,22,27
chicken,6.7,7.8,8,22
chimpanzee,5.0,7.3,31,28
cobra,3.2,6.6,60,47
cow,7.0,9.0,2,3
coyote,3.8,4.6,55,78
crab,3.0,4.0,69,90
crocodile,3.2,5.5,61,66
dog,7.0,9.4,3,1
dolphin,4.6,7.3,47,29
dragonfly,3.0,4.17,70,86
dromedary,3.0,4.4,71,84
duck,5.0,8.0,32,11
earthworm,3.0,4.470000000000001,72,82
eel,3.6,4.7,58,75
elephant,5.7,8.0,16,12
elk,3.4,6.15,59,54
ferret,3.0,4.4,73,85
fish,7.0,8.6,4,7
fox,5.0,7.0,33,36
frog,5.0,5.7,34,64
garden spider,3.8,5.3,56,68
gazelle,4.0,6.4,52,48
giraffe,5.0,7.65,35,24
goat,5.0,0.0,36,107
goose,5.0,6.3,37,52
guinea pig,5.9,5.8,13,63
hamster,5.0,6.15,38,55
hare,6.0,8.0,12,13
hedgehog,5.0,8.0,39,14
hippopotamus,3.0,5.2,74,69
horse,7.0,9.0,5,4
humpback whale,2.9,7.5,105,25
ibex,3.0,5.9,75,60
iguana,3.0,4.0,76,91
kangaroo,3.0,4.8,77,73
ladybird,5.1,7.8,26,23
leopard,5.7,7.0,17,37
lion,3.8,8.2,57,8
lizard,4.6,7.0,48,38
llama,3.0,4.0,78,92
lynx,3.0,6.2,79,53
marmot,3.0,7.0,80,39
marten,3.0,4.74,81,74
mite,3.0,3.05,82,104
mole,3.0,4.0,83,93
monkey,5.4,7.0,18,40
mouse,7.0,8.0,6,15
mussel,3.0,8.0,84,16
parrot,5.0,8.0,40,17
penguin,4.4,4.5,49,80
pig,6.9,7.15,7,32
pike,4.8,6.1,44,58
polar bear,3.2,7.2,62,31
polecat,3.0,4.15,85,87
pony,4.2,6.9,50,44
rat,5.0,0.0,41,108
reindeer,2.7,5.6,108,65
rhinoceros,3.2,3.9,63,97
rhinocerous horn beetle,3.0,5.0200000000000005,86,72
river horse,3.0,4.0,87,94
roe deer,5.4,8.0,19,18
salmon,6.5,7.5,9,26
saurian,2.2,4.1,109,88
scale insect,3.0,3.3,88,102
sea shell,3.0,3.9,89,98
seahorse,3.0,4.0,90,95
seal,3.0,5.9,91,61
sheep,6.4,8.0,10,19
snail,3.0,4.1,92,89
snake,5.1,6.8,27,46
spider,3.0,5.1,93,71
squirrel,5.2,7.0,23,41
stag / deer,5.9,9.0,14,5
starfish,3.0,3.9,94,99
stick insect,3.0,3.9,95,100
tarantula,3.0,4.0,96,96
tick,3.0,3.2,97,103
tiger,5.8,8.0,15,20
tortoise,3.2,0.0,64,109
turkey,3.0,4.5,98,81
warthog,3.0,4.470000000000001,99,83
wasp,5.0,4.55,42,79
water buffalo,3.0,3.0,100,105
whale,5.1,6.4,28,49
wild boar,3.0,9.0,101,6
wild cat,3.0,7.0,102,42
wolf,6.4,7.9,11,21
worm,3.0,3.9,103,101
zebra,5.0,6.1,43,59
