Exemplar,likert_average,rating_average,likert_rank,rating_rank
anorak,5.0,6.8,40,49
bikini,5.1,6.8,33,50
blazer,6.3,8.0,22,10
blouse,7.0,8.0,1,11
blouson,5.4,7.0,31,28
bodice,3.0,5.2,64,59
bra,6.1,7.6,26,24
braces ,3.0,4.5,65,62
cap,5.9,7.0,27,29
cardigan,7.0,7.0,2,30
cloak,3.0,3.0,66,69
clogs,3.0,4.1,67,63
cloth trousers,5.1,7.0,34,31
coat,6.3,8.0,23,12
cord trousers,5.0,7.0,41,32
corset,3.0,3.0,68,70
cuffs,4.4,5.4,59,58
denim jacket,7.0,0.0,3,72
denim skirt,5.0,7.0,42,33
dress,6.7,8.0,18,13
dungarees,5.0,7.0,43,34
ear muffs,3.0,7.0,69,35
fur cap,5.0,6.0,44,55
fur coat,3.0,3.0,70,71
glove,5.1,7.0,35,36
gym shoe,4.6,4.7,58,60
hairband,3.2,4.0,63,64
headband,3.6,4.0,61,65
headscarf,5.0,6.3,45,52
hot pants,3.0,4.7,71,61
jacket,7.0,9.0,4,1
jeans,7.0,9.0,5,2
kimono,3.0,6.0,72,56
leather gloves,5.0,7.0,46,37
leather jacket,6.3,8.0,24,14
leather trousers,5.1,4.0,36,66
longsleeve shirt,7.0,8.0,6,15
miniskirt,5.0,7.0,47,38
mittens,5.0,0.0,48,73
nightgown,5.0,7.0,49,39
overalls,3.0,7.0,73,40
parka,5.0,0.0,50,74
peaked cap,3.0,4.0,74,67
pinafore,3.0,8.0,75,16
polo shirt,6.5,7.6,20,25
pumps,5.9,8.0,28,17
pyjamas,5.1,7.0,37,41
raincoat,6.2,8.0,25,18
scarf,6.5,0.0,21,75
shawl,7.0,9.0,7,3
shirt,7.0,8.75,8,8
shorts,5.0,6.8,51,51
ski bottoms,3.4,6.3,62,53
ski jacket,5.1,8.0,38,19
skirt,5.6,7.55,30,26
slip-on shoes,5.1,7.0,39,42
slippers,5.0,8.0,52,20
sock,7.0,8.0,9,21
sports bra,4.8,6.2,57,54
sports jacket,5.3,7.0,32,43
stiletto ,5.0,7.1,53,27
stocking,7.0,7.0,10,44
stole,4.4,7.0,60,45
suit,7.0,8.0,11,22
sun hat,5.0,7.0,54,46
sweater,7.0,9.0,12,4
swimsuit,6.8,8.0,17,23
tanktop,3.0,4.0,76,68
tie,5.0,7.0,55,47
tights,5.0,0.0,56,76
top,6.7,8.1,19,9
tricot,7.0,0.0,13,77
trousers,7.0,9.0,14,5
underpants,7.0,9.0,15,6
underwear,7.0,9.0,16,7
vest,5.9,7.0,29,48
waistcoat,3.0,6.0,77,57
