Exemplar,likert_average,rating_average,likert_rank,rating_rank
armchair,7.0,0.0,1,49
balcony table,5.0,6.4,30,37
basement shelf,5.0,7.0,31,27
beanbag chair,5.0,4.95,32,40
bed,7.0,9.8,2,1
bed drawer,3.2,6.6,46,36
bedside cabinet,7.0,1.8,3,48
bedside table,6.6,9.0,22,3
bench,2.9,3.7,51,46
bookcase,6.7,9.0,20,4
bread cupboard,3.0,8.0,48,19
camping chair,3.0,3.0,49,47
chair,7.0,9.0,4,5
chaise longue,5.1,7.0,28,28
chest,5.0,7.0,33,29
chest of drawers,7.0,9.0,5,6
coffee table,7.0,9.0,6,7
couch,7.0,8.9,7,16
cradle,5.0,4.9,34,41
cupboard,7.0,0.0,8,50
deckchair,5.3,7.0,27,30
desk,7.0,8.75,9,18
desk chair,7.0,9.0,10,8
dining table,7.0,9.0,11,9
display cabinet,4.8,8.0,43,20
dressing table,5.0,7.0,35,31
filing cabinet,5.5,8.0,25,21
fitted cupboard,6.7,9.0,21,10
flower stand,3.4,6.0,45,38
folding table,5.0,7.0,36,32
garden chair,7.0,9.0,12,11
kitchen table,7.0,9.0,13,12
linen chest,6.5,8.0,23,22
linen cupboard,5.0,8.0,37,23
newspaper rack,4.4,4.3,44,43
occasional table,5.4,9.0,26,13
piano stool,5.0,7.0,38,33
rocking chair,5.0,6.0,39,39
safe,3.0,4.1,50,44
seating area,6.0,8.8,24,17
shelf,7.0,8.0,14,24
shoe cupboard,7.0,9.0,15,14
sideboard,7.0,8.0,16,25
sink unit,3.2,4.5200000000000005,47,42
sofa,7.0,9.3,17,2
stool,5.0,0.0,40,51
table,7.0,9.0,18,15
tv cabinet,7.0,7.0,19,34
umbrella holder,5.0,4.0,41,45
wall cupboard,5.0,7.0,42,35
wing chair,5.1,8.0,29,26
