Exemplar,likert_average,rating_average,likert_rank,rating_rank
accordion,6.3,7.0,7,12
balalaika,3.0,4.1,31,33
tin drum,4.6,6.0,24,24
bongo drums,4.8,6.0,23,25
viola,3.0,5.1,32,30
cello,6.2,7.5,8,8
harpsichord,3.0,4.1,33,34
bagpipes,3.0,4.0,34,35
electric guitar,6.7,9.0,6,2
bassoon,3.0,5.0,35,31
fanfare,3.0,6.1,36,23
flute,5.0,7.15,14,9
violin,7.0,9.0,1,3
guitar,7.0,9.0,2,4
harp,5.0,6.0,15,26
castanets,3.0,3.0,37,38
keyboard,5.1,7.05,13,11
clarinet,5.7,7.0,10,13
piano ,7.0,9.05,3,1
double bass,4.1,6.3,25,20
lyre,3.2,3.0,29,39
mandolin,3.2,6.0,30,27
harmonica,5.0,7.0,16,14
oboe,5.0,7.0,17,15
organ,5.2,7.1,12,10
panpipes,5.0,4.0,18,36
kettledrum,5.0,6.8,19,18
piccolo,3.4,5.6,28,29
trombone,5.0,7.0,20,16
rattle,3.0,4.0,38,37
saxophone,5.5,7.0,11,17
bells,3.0,4.6,39,32
drumkit,7.0,7.8,4,7
tambourine,5.0,5.7,21,28
triangle,5.0,6.2,22,22
drum,7.0,7.9,5,6
trumpet,6.2,8.0,9,5
tuba,4.0,6.6,26,19
xylophone,3.6,6.25,27,21
