Exemplar,likert_average,rating_average,likert_rank,rating_rank
actor,5.7,8.0,71,23
aircraft manufacturer,5.4,7.0,84,99
air-traffic controller,4.6,7.0,176,100
anaesthetist,5.9,7.2,65,86
archaeologist,5.0,4.0,119,188
architect,5.0,8.0,120,24
artist,5.5,7.0,78,101
assistant tax consultant,6.0,7.0,51,102
bailiff,3.0,6.0,186,174
baker,7.0,9.0,1,1
banker,7.0,8.0,2,25
beautician,6.5,7.0,27,103
biologist,6.4,8.1,34,17
blacksmith,5.0,6.85,121,157
bodyguard,5.0,3.0,122,190
boilerman,5.0,6.0,123,175
bookbinder,2.9,5.1,191,185
bookkeeper,7.0,8.0,3,26
broker,5.0,6.6,124,164
builder,6.9,7.7,12,67
building engineer,6.2,7.5,42,75
bus driver,5.9,7.5,66,76
business economist,5.2,7.1,97,91
butcher,5.1,8.0,107,27
captain,5.4,7.1,85,92
car mechanic,6.3,7.5,39,77
cardiologist,6.5,8.0,28,28
carpenter,6.1,8.2,46,14
case worker,6.0,8.4,52,9
cashier,6.5,8.0,29,29
chauffeur,5.0,5.0,125,186
chemical engineer,5.2,7.6,98,69
chemist,5.3,7.0,92,104
chimney sweep,5.2,7.6,99,70
cleaner,5.8,7.0,69,105
communications assistant,5.3,7.0,93,106
computer expert,5.2,9.0,100,2
computer scientist,5.3,7.3,94,81
conductor,5.0,6.8,126,159
confectioner,5.5,8.25,79,12
conservator,3.2,6.2,185,170
cook,6.8,8.0,18,30
court assistant,4.6,6.0,177,176
craftsman,7.0,8.0,4,31
crane operator,5.0,7.0,127,107
dancer,5.1,7.2,108,87
dental assistant,5.0,8.0,128,32
dentist,6.9,8.0,13,33
designer,5.0,7.0,129,108
dietician,6.0,7.0,53,109
director,5.2,7.8,101,64
doctor,7.0,8.5,5,8
doctor's assistant,6.6,8.0,23,34
doorman,5.5,7.0,80,110
driver,5.5,7.0,81,111
driving instructor,5.6,7.0,76,112
economist,6.0,7.4,54,79
editor,6.0,8.0,55,35
educationist,6.6,8.0,24,36
educator,6.5,7.3,30,82
electrician,6.7,8.0,20,37
engineer,6.1,9.0,47,3
event manager,5.0,7.0,130,113
